alsa-utils 1.2.15.2-2
amd-ucode 20260410-1
base 3-3
brightnessctl 0.5.1-3
cargo-binstall 1.19.1-1
clang 22.1.5-1
cliphist 1:0.7.0-2
code 1.119.0-1
docker 1:29.4.3-1
docker-compose 5.1.3-1
fd 10.4.2-2
fzf 0.72.0-1
ghostty 1.3.1-2
gnome-themes-extra 1:3.28-1
grub 2:2.14-1
hyprland 0.55.1-1
hyprpaper 0.8.4-1
hyprpolkitagent 0.1.3-7
keychain 2.9.8-1
ly 1.4.0-1
mako 1.11.0-1
neovim 0.12.2-1
networkmanager 1.56.0-1
networkmanager-openvpn 1.12.5-1
otf-ipafont 003.03-9
pavucontrol 1:6.2-1
rofi 2.0.0-1
thunar 4.20.8-3
ttf-jetbrains-mono-nerd 3.4.0-2
unzip 6.0-23
vivaldi 7.9.3970.64-1
waybar 0.15.0-2
wiremix 0.10.0-1
yay 12.5.7-1
yay-debug 12.5.7-1
ytmdesktop 2.0.11-1
